account,sentiment,closed_pnl
0x083384f897ee0f19899168e3b1bec365f52a9012,extreme fear,0.0
0x083384f897ee0f19899168e3b1bec365f52a9012,fear,1927735.720035
0x083384f897ee0f19899168e3b1bec365f52a9012,neutral,0.0
0x083384f897ee0f19899168e3b1bec365f52a9012,greed,-327505.900056
0x083384f897ee0f19899168e3b1bec365f52a9012,extreme greed,0.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,extreme fear,0.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,fear,17098.727055
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,neutral,0.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,greed,20607.446093000002
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,extreme greed,0.0
0x271b280974205ca63b716753467d5a371de622ab,extreme fear,0.0
0x271b280974205ca63b716753467d5a371de622ab,fear,29970.928216
0x271b280974205ca63b716753467d5a371de622ab,neutral,-1.0
0x271b280974205ca63b716753467d5a371de622ab,greed,1793.1602149999999
0x271b280974205ca63b716753467d5a371de622ab,extreme greed,0.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,extreme fear,0.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,fear,10435.095669
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,neutral,0.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,greed,121880.386016
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,extreme greed,0.0
0x2c229d22b100a7beb69122eed721cee9b24011dd,extreme fear,0.0
0x2c229d22b100a7beb69122eed721cee9b24011dd,fear,116412.254606
0x2c229d22b100a7beb69122eed721cee9b24011dd,neutral,0.0
0x2c229d22b100a7beb69122eed721cee9b24011dd,greed,52215.729448
0x2c229d22b100a7beb69122eed721cee9b24011dd,extreme greed,0.0
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,extreme fear,0.0
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,fear,-59349.677108
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,neutral,215.754798
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,greed,36993.371011
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,extreme greed,-5564.01614
0x39cef799f8b69da1995852eea189df24eb5cae3c,extreme fear,0.0
0x39cef799f8b69da1995852eea189df24eb5cae3c,fear,-20526.462526
0x39cef799f8b69da1995852eea189df24eb5cae3c,neutral,0.0
0x39cef799f8b69da1995852eea189df24eb5cae3c,greed,34983.381862
0x39cef799f8b69da1995852eea189df24eb5cae3c,extreme greed,0.0
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,extreme fear,0.0
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,fear,45883.628955
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,neutral,0.0
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,greed,7612.618288
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,extreme greed,0.0
0x420ab45e0bd8863569a5efbb9c05d91f40624641,extreme fear,0.0
0x420ab45e0bd8863569a5efbb9c05d91f40624641,fear,183403.024142
0x420ab45e0bd8863569a5efbb9c05d91f40624641,neutral,0.0
0x420ab45e0bd8863569a5efbb9c05d91f40624641,greed,16102.56859
0x420ab45e0bd8863569a5efbb9c05d91f40624641,extreme greed,0.0
0x430f09841d65beb3f27765503d0f850b8bce7713,extreme fear,0.0
0x430f09841d65beb3f27765503d0f850b8bce7713,fear,110527.905862
0x430f09841d65beb3f27765503d0f850b8bce7713,neutral,145563.448374
0x430f09841d65beb3f27765503d0f850b8bce7713,greed,160450.518105
0x430f09841d65beb3f27765503d0f850b8bce7713,extreme greed,0.0
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,extreme fear,0.0
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,fear,32683.214094
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,neutral,0.0
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,greed,69282.42904
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,extreme greed,0.0
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,extreme fear,0.0
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,fear,613327.827224
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,neutral,0.0
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,greed,61076.167808
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,extreme greed,0.0
0x4f93fead39b70a1824f981a54d4e55b278e9f760,extreme fear,0.0
0x4f93fead39b70a1824f981a54d4e55b278e9f760,fear,223968.37089299998
0x4f93fead39b70a1824f981a54d4e55b278e9f760,neutral,-25991.506339
0x4f93fead39b70a1824f981a54d4e55b278e9f760,greed,111230.498007
0x4f93fead39b70a1824f981a54d4e55b278e9f760,extreme greed,-7919.471032000002
0x513b8629fe877bb581bf244e326a047b249c4ff1,extreme fear,0.0
0x513b8629fe877bb581bf244e326a047b249c4ff1,fear,403501.648209
0x513b8629fe877bb581bf244e326a047b249c4ff1,neutral,0.0
0x513b8629fe877bb581bf244e326a047b249c4ff1,greed,0.0
0x513b8629fe877bb581bf244e326a047b249c4ff1,extreme greed,0.0
0x6d6a4b953f202f8df5bed40692e7fd865318264a,extreme fear,0.0
0x6d6a4b953f202f8df5bed40692e7fd865318264a,fear,6979.340871
0x6d6a4b953f202f8df5bed40692e7fd865318264a,neutral,0.0
0x6d6a4b953f202f8df5bed40692e7fd865318264a,greed,101539.274031
0x6d6a4b953f202f8df5bed40692e7fd865318264a,extreme greed,0.0
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,extreme fear,0.0
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,fear,98269.195073
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,neutral,0.0
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,greed,327545.999992
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,extreme greed,0.0
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,extreme fear,0.0
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,fear,341945.434741
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,neutral,0.0
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,greed,51737.579418
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,extreme greed,0.0
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,extreme fear,0.0
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,fear,136208.043913
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,neutral,0.16271999999999998
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,greed,37526.331877
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,extreme greed,187842.08419
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,extreme fear,0.0
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,fear,14781.443047
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,neutral,0.0
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,greed,0.0
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,extreme greed,0.0
0x8170715b3b381dffb7062c0298972d4727a0a63b,extreme fear,0.0
0x8170715b3b381dffb7062c0298972d4727a0a63b,fear,196303.792847
0x8170715b3b381dffb7062c0298972d4727a0a63b,neutral,0.0
0x8170715b3b381dffb7062c0298972d4727a0a63b,greed,0.0
0x8170715b3b381dffb7062c0298972d4727a0a63b,extreme greed,0.0
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,extreme fear,0.0
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,fear,64510.169958
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,neutral,0.0
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,greed,11.717676000000012
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,extreme greed,0.0
0x8477e447846c758f5a675856001ea72298fd9cb5,extreme fear,0.0
0x8477e447846c758f5a675856001ea72298fd9cb5,fear,46257.358187
0x8477e447846c758f5a675856001ea72298fd9cb5,neutral,-9125.157325
0x8477e447846c758f5a675856001ea72298fd9cb5,greed,39978.37791
0x8477e447846c758f5a675856001ea72298fd9cb5,extreme greed,0.0
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,extreme fear,0.0
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,fear,100502.420808
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,neutral,0.0
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,greed,8695.357326
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,extreme greed,0.0
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,extreme fear,0.0
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,fear,40314.808014
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,neutral,0.0
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,greed,49180.714882
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,extreme greed,0.0
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,extreme fear,0.0
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,fear,19451.742477
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,neutral,-14505.50575
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,greed,67900.247545
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,extreme greed,0.0
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,extreme fear,0.0
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,fear,8751.751449
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,neutral,0.0
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,greed,20925.513222
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,extreme greed,0.0
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,extreme fear,0.0
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,fear,21703.816512999998
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,neutral,0.0
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,greed,55.01524
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,extreme greed,0.0
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,extreme fear,0.0
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,fear,553818.000465
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,neutral,62586.1816
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,greed,1421911.349228
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,extreme greed,2606.8947559999997
0xb899e522b5715391ae1d4f137653e7906c5e2115,extreme fear,0.0
0xb899e522b5715391ae1d4f137653e7906c5e2115,fear,22488.500821
0xb899e522b5715391ae1d4f137653e7906c5e2115,neutral,0.0
0xb899e522b5715391ae1d4f137653e7906c5e2115,greed,0.0
0xb899e522b5715391ae1d4f137653e7906c5e2115,extreme greed,0.0
0xbaaaf6571ab7d571043ff1e313a9609a10637864,extreme fear,0.0
0xbaaaf6571ab7d571043ff1e313a9609a10637864,fear,940157.212682
0xbaaaf6571ab7d571043ff1e313a9609a10637864,neutral,0.0
0xbaaaf6571ab7d571043ff1e313a9609a10637864,greed,0.0
0xbaaaf6571ab7d571043ff1e313a9609a10637864,extreme greed,0.0
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,extreme fear,0.0
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,fear,325441.97721599997
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,neutral,0.0
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,greed,11671.68
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,extreme greed,0.0
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,extreme fear,0.0
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,fear,126967.976166
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,neutral,0.0
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,greed,684215.002602
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,extreme greed,0.0
